universite_adi;Acıbadem Mehmet Ali Aydınlar Üniversitesi ;Altınbaş Üniversitesi;ATAŞEHİR ADIGÜZEL MESLEK YÜKSEKOKULU;BAHÇEŞEHİR ÜNİVERSİTESİ;BEYKOZ ÜNİVERSİTESİ;BEZM-İ ÂLEM VAKIF ÜNİVERSİTESİ;BİRUNİ ÜNİVERSİTESİ;BOĞAZİÇİ ÜNİVERSİTESİ;DEMİROĞLU BİLİM ÜNİVERSİTESİ;DOĞUŞ ÜNİVERSİTESİ;FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ;FENERBAHÇE ÜNİVERSİTESİ;GALATASARAY ÜNİVERSİTESİ;HALİÇ ÜNİVERSİTESİ;IŞIK ÜNİVERSİTESİ;İBN HALDUN ÜNİVERSİTESİ;İSTANBUL 29 MAYIS ÜNİVERSİTESİ;İSTANBUL AREL ÜNİVERSİTESİ;İSTANBUL ATLAS ÜNİVERSİTESİ;İSTANBUL AYDIN ÜNİVERSİTESİ;İSTANBUL BEYKENT ÜNİVERSİTESİ;İSTANBUL BİLGİ ÜNİVERSİTESİ;İSTANBUL ESENYURT ÜNİVERSİTESİ;İSTANBUL GALATA ÜNİVERSİTESİ;İSTANBUL GEDİK ÜNİVERSİTESİ;İSTANBUL GELİŞİM ÜNİVERSİTESİ;İSTANBUL KENT ÜNİVERSİTESİ;İSTANBUL KÜLTÜR ÜNİVERSİTESİ;İSTANBUL MEDENİYET ÜNİVERSİTESİ;İSTANBUL MEDİPOL ÜNİVERSİTESİ;İSTANBUL NİŞANTAŞI ÜNİVERSİTESİ;İSTANBUL OKAN ÜNİVERSİTESİ;İSTANBUL RUMELİ ÜNİVERSİTESİ;İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ;İSTANBUL SAĞLIK VE SOSYAL BİLİMLER MESLEK YÜKSEKOKULU;İSTANBUL SAĞLIK VE TEKNOLOJİ ÜNİVERSİTESİ;İSTANBUL ŞİŞLİ MESLEK YÜKSEKOKULU;İSTANBUL TEKNİK ÜNİVERSİTESİ;İSTANBUL TİCARET ÜNİVERSİTESİ;İSTANBUL TOPKAPI ÜNİVERSİTESİ;İSTANBUL ÜNİVERSİTESİ;İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA;İSTANBUL YENİ YÜZYIL ÜNİVERSİTESİ;İSTİNYE ÜNİVERSİTESİ;KADİR HAS ÜNİVERSİTESİ;KOÇ ÜNİVERSİTESİ;MALTEPE ÜNİVERSİTESİ;MARMARA ÜNİVERSİTESİ;MEF ÜNİVERSİTESİ;MİMAR SİNAN GÜZEL SANATLAR ÜNİVERSİTESİ;ÖZYEĞİN ÜNİVERSİTESİ;PİRİ REİS ÜNİVERSİTESİ;SABANCI ÜNİVERSİTESİ;SAĞLIK BİLİMLERİ ÜNİVERSİTESİ;TÜRK-ALMAN ÜNİVERSİTESİ;ÜSKÜDAR ÜNİVERSİTESİ;YEDİTEPE ÜNİVERSİTESİ;YILDIZ TEKNİK ÜNİVERSİTESİ;Taksim Meydan
Acıbadem Mehmet Ali Aydınlar Üniversitesi ;0;40.0538;7.8337;15.5843;20.1057;18.3594;19.844;19.1224;16.3419;9.7694;19.1879;3.2197;16.9876;23.8686;27.1153;41.9404;9.3706;71.0825;20.7945;32.7294;22.0082;24.074;44.3867;18.437;17.2383;42.788;19.7844;28.6747;5.6252;19.7141;22.4725;30.4685;108.215;35.572;22.0579;21.4671;22.2363;20.9104;22.4776;18.5961;17.0235;45.4551;21.0231;21.665;18.0668;35.177;10.1148;6.9348;20.1888;18.2338;22.1807;31.9963;29.7582;9.1939;29.308;11.5151;5.1234;16.2834;19.9538
Altınbaş Üniversitesi;42.5542;0;44.2572;27.2684;31.1755;22.1461;21.0614;25.6883;24.5931;42.3002;21.3382;43.786;27.5355;17.4204;29.7023;8.2212;37.4671;43.3476;19.1453;20.1176;24.5953;19.244;26.4458;26.6051;58.7857;28.1983;21.3133;18.7545;34.4885;29.9842;25.0595;66.892;80.48;12.8855;30.2891;22.7683;24.8233;23.4974;22.3477;27.4782;23.9711;25.5888;20.6187;19.2979;27.6157;37.764;51.8263;36.357;22.7758;22.1665;54.8867;77.7133;66.1816;34.7149;38.7949;30.8935;46.1476;25.6828;26.5497
ATAŞEHİR ADIGÜZEL MESLEK YÜKSEKOKULU;5.9413;40.6612;0;16.1917;18.906;21.7168;28.0809;19.7298;16.9493;12.3028;22.5454;6.0662;17.595;24.476;27.7227;42.5478;8.1709;71.6899;21.4018;36.0868;22.6156;24.6814;54.7882;24.1547;24.2495;48.6741;20.3918;32.0321;8.2358;18.5144;23.0799;32.3559;108.8224;42.5381;23.2543;22.0744;22.8437;21.5178;23.085;21.9535;17.6309;53.9312;26.9215;27.5995;21.4243;35.7844;17.2902;9.938;20.7962;18.8412;23.8012;43.1772;31.6455;13.4333;28.1083;12.1225;9.5347;16.8908;20.6838
BAHÇEŞEHİR ÜNİVERSİTESİ;16.7416;27.7989;19.1246;0;14.7183;13.8609;15.5525;6.8676;4.0871;20.0612;11.369;15.5383;2.6957;11.9476;14.8605;29.6855;12.4939;58.8277;8.9257;27.0209;9.7534;12.153;41.926;5.6322;33.6531;36.1457;8.2824;21.957;10.0678;13.527;10.2177;41.7594;95.9602;29.6759;7.4414;9.546;9.9815;8.6556;10.5566;12.5923;5.23;41.069;14.3931;15.0711;7.0411;22.9222;26.6937;11.9363;7.9339;5.979;32.6137;52.5807;41.049;10.2942;22.3376;6.4729;20.7129;1.9915;4.8709
BEYKOZ ÜNİVERSİTESİ;16.0946;29.9598;17.7976;13.3207;0;23.2861;24.9777;8.0529;10.6454;15.8406;25.2545;17.3264;13.5879;16.2885;19.1315;31.8464;11.0075;60.9886;13.8658;37.8309;14.0245;18.2546;44.0868;19.6539;32.326;45.8393;13.2225;36.4678;16.7818;0.5309;14.4888;40.4323;98.121;31.8368;20.3833;17.9896;14.2525;9.6468;17.569;27.1267;10.1701;43.2298;23.8183;24.4963;20.6645;27.1932;25.3667;20.0913;12.205;10.25;28.427;51.2537;39.722;14.8443;10.1724;11.2093;19.688;11.7351;17.8128
BEZM-İ ÂLEM VAKIF ÜNİVERSİTESİ;20.08;15.1826;29.0844;9.0237;23.3137;0;2.6898;15.463;12.6825;30.021;2.5589;21.3171;13.2465;18.2027;23.4559;22.6582;22.4537;46.2114;12.993;19.0148;15.9777;10.6562;29.3097;4.6061;33.8776;25.9354;11.0683;11.7467;16.8227;22.1224;18.8131;51.7192;83.3439;17.0596;6.7401;5.4743;18.5769;17.251;7.5272;5.1497;11.7948;28.4526;3.0608;3.7388;3.0157;31.5176;28.4237;15.7355;16.5293;14.5744;42.5735;48.8657;51.0088;14.6262;30.9331;16.4327;23.4324;11.3883;6.1229
BİRUNİ ÜNİVERSİTESİ;20.4837;16.0781;29.9798;13.8748;24.2091;2.1195;0;16.3584;13.578;30.9165;1.4211;21.7207;14.142;19.0982;24.3513;23.5536;23.3492;47.1069;13.8885;15.889;16.8732;11.5516;26.6124;6.5597;34.2812;25.0137;11.9638;10.825;20.923;23.0178;19.7086;52.6146;84.2393;17.9551;8.6937;6.3697;19.4723;18.1464;8.4227;3.6425;12.6903;27.6808;3.2563;3.8982;4.9693;32.4131;37.549;16.1392;17.4248;15.4699;43.4689;49.2693;51.9043;15.0298;31.8285;17.3281;23.836;12.2838;8.0766
BOĞAZİÇİ ÜNİVERSİTESİ;21.6381;26.4645;23.341;7.0538;10.2594;15.6216;17.3132;0;4.3785;21.3841;17.59;22.8699;7.321;12.7932;12.4286;28.3511;16.551;57.4933;9.0326;34.3357;10.2899;14.7593;40.5916;13.387;37.8695;42.344;8.3893;23.7177;14.2739;9.0681;10.7542;45.9758;94.6257;28.3415;14.1164;11.3068;7.5496;5.8206;14.0737;19.4622;5.3369;39.7345;16.1538;16.8318;14.3977;20.4903;30.9102;16.1425;8.4704;6.4761;33.9705;56.7972;45.2655;14.5004;17.8787;10.679;25.2315;5.4683;11.546
DEMİROĞLU BİLİM ÜNİVERSİTESİ;17.3313;25.6607;19.7143;3.4374;12.58;12.0052;13.6967;4.7293;0;20.6509;13.9736;16.128;3.7045;8.6621;12.7222;27.5473;13.0836;56.6894;5.7618;25.1652;7.6151;8.8675;39.7877;9.7706;34.2428;34.2899;4.7518;20.1013;10.6575;11.3887;8.0794;42.3491;93.8219;27.5376;10.5;7.6903;7.8432;6.5173;7.6325;15.8457;1.8356;38.9307;12.5373;13.2154;10.7812;20.7839;27.2834;12.526;5.7957;3.8407;36.2912;53.1704;41.6387;10.8839;20.1994;7.0625;21.3026;1.8518;7.9295
DOĞUŞ ÜNİVERSİTESİ;8.3412;48.2703;4.771;21.2418;21.9866;31.4395;33.131;26.3634;21.9995;0;27.3163;7.7591;22.6452;34.599;37.442;50.1568;9.9533;79.299;26.452;40.8578;32.3349;36.5651;62.3973;29.2049;20.6437;64.1497;25.442;39.5355;13.0067;20.7953;32.7992;28.75;116.4315;50.1472;28.3044;27.1246;32.563;27.9572;28.1352;26.7245;22.6811;61.5403;31.9716;32.6497;26.1953;45.5037;11.0443;14.709;30.5154;28.5605;12.8132;39.5713;28.0396;18.3895;29.6059;17.0787;7.4511;21.9409;25.7339
FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ;20.944;15.9425;30.2023;14.0972;24.4315;2.5142;0.6561;16.5808;13.8004;31.1389;0;26.616;14.3644;13.5125;24.5737;23.4181;23.5716;46.9713;14.1109;14.4678;17.0956;11.774;25.1912;6.9544;34.7416;23.5926;12.1862;9.4039;21.1454;23.2402;19.931;52.837;84.1038;16.3765;9.0884;6.5921;19.6947;18.3688;8.6451;2.9723;12.9127;26.2597;1.8352;2.477;5.364;32.6355;37.7714;16.5995;17.6472;15.6923;43.6913;49.7297;52.1267;15.4901;32.0509;17.5505;24.2964;12.5062;8.4712
FENERBAHÇE ÜNİVERSİTESİ;3.4589;39.6979;4.3801;15.2284;20.4299;19.2106;20.6953;18.7665;15.9861;7.8512;20.0392;0;16.6318;23.5128;26.7594;41.5845;9.6948;70.7267;20.4386;33.5806;21.6524;23.7181;45.2379;19.2882;20.1417;43.6393;19.4286;29.5259;6.1431;20.0383;22.1167;28.248;107.8591;36.4232;22.9091;21.1112;21.8804;20.5545;22.1218;19.4473;16.6677;46.3064;25.9582;26.6363;18.9181;34.8212;9.3848;8.9711;19.8329;17.878;20.2625;39.0693;27.5376;10.0452;29.6321;11.1593;5.9162;15.9275;19.7205
GALATASARAY ÜNİVERSİTESİ;19.6204;28.0569;22.0034;3.0203;14.9762;14.1188;15.8104;7.7285;4.345;22.94;13.6305;18.4171;0;12.2055;15.1184;29.9435;15.3727;59.0856;9.1837;27.2788;10.0114;12.4109;42.1839;7.8937;36.5319;36.4036;8.5403;22.2149;12.9466;13.7849;10.4756;44.6382;96.2181;29.9338;9.7029;9.804;10.2394;8.9135;10.8146;14.8538;5.488;41.3269;14.651;15.329;9.3026;23.1801;29.5725;14.8151;8.1919;6.2369;38.6874;55.4595;43.9278;13.173;22.5956;9.3517;23.5917;2.2494;7.1324
HALİÇ ÜNİVERSİTESİ;28.5306;18.9992;30.2336;13.2448;17.1519;11.5959;13.2874;11.6647;10.5695;28.2766;13.5643;29.7624;13.512;0;15.6787;20.8858;23.4435;50.028;4.3582;26.8703;10.5717;2.1181;33.1262;10.1165;44.7621;34.8787;4.4479;25.5072;17.2701;15.9606;11.0359;52.8684;87.1604;20.8762;13.8004;5.5959;10.7997;9.4738;3.6525;15.4364;6.8448;32.2692;12.1281;12.8061;11.1271;23.7404;37.8027;19.1387;8.7522;8.1429;40.8631;63.6897;52.158;17.4966;24.7713;13.6752;32.124;11.6592;10.0611
IŞIK ÜNİVERSİTESİ;32.0535;29.6968;33.7565;14.8531;20.6749;23.0232;24.7148;12.8054;12.1778;31.7995;24.9916;33.2853;15.1202;16.0255;0;31.5834;26.9664;60.7256;13.2996;37.568;7.7409;17.9916;43.8239;21.1863;48.285;45.5763;13.1962;36.2049;22.0732;19.4835;6.4832;56.3913;94.3397;31.5738;21.9156;17.7266;6.4995;10.6188;17.306;26.8637;11.5558;42.9669;23.5554;24.2334;22.1969;11.4297;41.3257;23.9417;7.9966;9.7511;44.386;67.2127;55.681;22.2996;28.2942;18.4782;35.6469;13.2675;19.3452
İBN HALDUN ÜNİVERSİTESİ;43.3432;8.6251;45.0462;28.0573;31.9645;24.0612;24.0839;26.4772;25.382;43.0892;24.3607;44.575;28.3245;18.2094;30.4913;0;38.2561;45.2627;19.9343;22.0327;25.3842;20.033;28.361;27.3941;59.5746;30.1134;22.1023;20.6696;35.2774;30.7732;25.8485;67.6809;82.3952;16.0386;31.078;23.5572;25.6123;24.2864;23.1366;29.3933;24.7601;21.9479;23.6412;22.3204;27.3541;38.553;52.6153;37.146;23.5647;22.9554;55.6756;78.5023;66.9706;35.5039;39.5839;31.6825;46.9366;26.4718;27.3387
İSTANBUL 29 MAYIS ÜNİVERSİTESİ;9.7665;39.0237;10.3306;11.9498;10.8792;22.1474;23.839;15.4879;12.7074;9.1642;20.5169;10.9983;13.3531;20.2341;23.4808;40.9103;0;70.0525;17.1599;34.0583;18.3737;20.4395;53.1508;19.9128;25.998;44.4322;16.1499;30.2435;6.4355;10.4876;18.838;34.1043;107.185;40.9007;19.0124;17.8325;18.6018;17.2759;18.8431;19.925;13.389;52.2938;22.6796;23.3576;20.9234;31.5425;19.0386;9.6989;16.5542;14.5993;21.7167;44.9256;33.3939;9.0974;20.0815;7.7866;13.3599;12.6489;16.4419
İSTANBUL AREL ÜNİVERSİTESİ;73.8439;37.7546;75.5468;58.558;62.4652;46.0855;46.1081;56.9779;55.8827;73.5899;46.385;75.0757;58.8252;48.7101;60.9919;45.0996;68.7568;0;50.435;44.2003;55.8849;49.0446;26.8321;50.9688;90.0753;28.5846;52.6029;42.8372;65.7781;61.2739;56.3492;98.1816;46.6794;38.2061;53.1028;54.0579;56.113;54.7871;53.6373;51.5609;55.2608;27.0114;45.6655;44.3446;49.3783;69.0537;83.116;67.6467;54.0654;53.4561;86.1763;109.003;97.4713;66.0046;70.0845;62.1832;77.4373;56.9724;52.4856
İSTANBUL ATLAS ÜNİVERSİTESİ;26.9022;22.0143;24.9474;9.7018;15.5236;12.999;14.6906;10.0363;7.0265;26.6482;14.9674;21.3611;9.969;6.3239;13.7273;23.9008;21.8151;53.043;0;26.159;4.5535;6.5292;36.1413;10.6485;39.4759;37.8937;2.0961;21.0951;15.8906;14.3322;5.7216;47.5822;90.1755;23.8912;14.3324;7.2376;8.8483;7.5225;5.2942;16.8396;4.4929;35.2843;13.5312;14.2092;11.6591;21.7891;32.5165;17.7591;5.0013;4.2811;39.2347;58.4035;46.8719;16.117;23.1429;12.2957;30.4956;8.1162;10.5931
İSTANBUL AYDIN ÜNİVERSİTESİ;33.1752;13.6332;39.0276;25.0679;38.6545;14.5797;12.1161;33.1672;24.771;41.6093;12.4503;34.4122;25.335;24.8993;37.1812;20.9782;34.0115;44.4725;26.6242;0;32.0742;25.2338;13.5512;22.2602;46.9728;11.9526;23.1568;4.2389;29.9178;37.4631;32.5385;61.6624;81.6049;6.1547;23.5941;17.5628;32.3022;30.9763;19.6157;12.9487;23.8833;14.6197;13.4082;12.7456;17.8725;45.243;41.5189;28.8307;30.2547;29.6454;62.3656;61.9609;60.9521;27.7213;46.2738;28.5212;36.5275;23.4768;23.777
İSTANBUL BEYKENT ÜNİVERSİTESİ;26.5089;24.6926;28.2119;9.3084;15.1302;15.5564;17.2479;9.6429;6.6331;26.2549;17.5248;27.7407;9.5756;11.0213;7.282;26.5792;21.4218;55.7214;3.8683;32.5637;0;10.885;38.8196;13.3457;42.7404;40.5721;6.4634;31.2006;16.5285;13.9389;1.2577;50.8467;92.8538;26.5696;16.371;12.7224;2.5084;5.6146;9.65;19.3969;6.0112;37.9626;16.0885;16.7666;14.3563;15.3437;35.781;18.397;2.374;4.085;38.8414;61.668;50.1363;16.755;22.7496;12.9336;30.1023;7.7228;13.8005
İSTANBUL BİLGİ ÜNİVERSİTESİ;30.1394;17.1873;31.8423;14.8535;18.7607;11.2561;12.9477;13.2734;12.1782;29.8854;13.2245;31.3712;15.1207;3.7119;17.2874;18.615;25.0522;48.2161;5.9669;25.0585;12.1804;0;31.3144;9.7768;46.3708;33.0668;5.7472;23.6954;18.5694;17.5694;12.6447;54.4771;85.3486;19.0643;13.4607;5.2562;12.4084;11.0826;3.66;15.0967;8.1441;30.4574;11.7883;12.4663;10.7874;25.3492;39.4115;20.4379;10.3609;9.7516;42.4718;65.2985;53.7668;18.7958;26.38;14.9745;33.7328;9.9301;9.7213
İSTANBUL ESENYURT ÜNİVERSİTESİ;56.3366;20.2473;58.0395;41.0507;44.9579;28.5782;25.1486;39.4706;38.3754;56.0826;25.4828;57.5684;41.3179;31.2028;43.4846;27.5923;51.2495;27.5956;32.9277;14.3306;38.3776;31.5373;0;33.4614;72.568;2.2605;35.0956;17.2714;48.2708;43.7666;38.8419;80.6743;64.728;16.7984;35.5954;36.5506;38.6056;37.2798;36.13;25.9812;37.7535;2.5506;28.1582;26.8373;31.871;51.5464;65.6087;41.3524;36.5581;35.9488;68.669;91.4957;79.964;40.243;52.5772;44.6759;59.93;39.4651;34.9783
İSTANBUL GALATA ÜNİVERSİTESİ;22.5186;20.8418;24.9016;4.4057;19.1309;5.236;7.1754;11.2801;6.9214;25.8382;6.5193;21.3153;7.2012;11.2899;19.273;28.3173;18.2709;51.8705;9.8236;21.8759;12.8083;9.9602;34.9688;0;39.4301;31.9346;7.8989;17.8212;15.8448;17.9395;13.9765;47.5364;89.003;22.7187;4.6605;5.9276;14.3941;13.0682;6.8313;7.7426;8.6254;34.1118;9.6256;10.3036;2.1914;27.3348;32.4707;17.7133;12.3465;9.8952;38.3906;58.3577;46.826;16.0712;26.7502;12.2498;26.4899;6.2557;1.505
İSTANBUL GEDİK ÜNİVERSİTESİ;14.6208;60.0105;16.5112;32.7029;33.7268;30.7312;32.2159;36.241;33.4605;19.3795;31.5598;19.8915;34.1063;40.9872;44.2339;61.8971;24.6821;91.0393;37.9131;45.1012;39.1269;41.1926;56.7585;30.8088;0;55.1599;36.9031;41.0465;17.997;32.5355;39.5912;27.2545;128.1717;47.9438;34.4297;38.5857;39.3549;38.029;39.5963;30.9679;34.1422;57.827;43.4327;44.1107;30.4387;52.2956;12.496;19.3066;37.3074;35.3524;23.1796;16.1869;21.4276;21.5658;41.3462;28.6338;14.4902;33.402;37.195
İSTANBUL GELİŞİM ÜNİVERSİTESİ;58.3066;22.2174;60.0096;36.0897;46.928;25.6015;23.1379;41.4407;40.3455;58.0526;23.4721;59.5384;36.3569;33.1728;45.4547;29.5624;53.2195;29.8036;34.8977;12.3199;40.3477;33.5073;2.4222;30.4847;57.4838;0;37.0657;15.2607;40.4288;45.7366;40.812;82.6444;66.936;16.0401;34.1051;28.5846;40.5757;39.2498;38.1001;23.9705;39.7236;3.4907;24.43;23.7674;28.8943;53.5165;67.5788;39.3417;38.5282;37.9189;70.6391;72.4719;81.9341;38.2323;54.5473;39.543;61.9001;34.4986;33.1446
İSTANBUL KENT ÜNİVERSİTESİ;24.9081;22.8082;26.6111;7.7077;13.5295;11.1822;12.8738;8.0422;5.0324;24.6541;13.1506;26.1399;7.9748;6.3055;11.8935;24.6948;19.821;53.837;2.2155;24.3422;5.2001;6.5108;36.9353;8.9715;41.1396;38.6877;0;19.2783;14.9278;12.3381;6.3683;49.2459;90.9695;24.6852;12.6554;6.8673;7.0145;5.6886;5.2758;15.0227;2.4988;36.0782;11.7144;12.3924;9.9821;19.9552;34.1803;16.7963;4.9669;2.287;37.2406;60.0673;48.5356;15.1542;21.1488;11.3328;28.5015;6.1221;8.9161
